ts_code,end_date,roe
000001.SZ,2016-03-31,3.487
000001.SZ,2016-06-30,6.9604
000001.SZ,2016-09-30,10.4073
000001.SZ,2016-12-31,12.4283
000001.SZ,2017-03-31,3.0319
000001.SZ,2017-06-30,6.0702
000001.SZ,2017-09-30,9.1144
000001.SZ,2017-12-31,10.9324
000001.SZ,2018-03-31,2.9611
000001.SZ,2018-06-30,5.9405
000001.SZ,2018-09-30,8.9467
000001.SZ,2018-12-31,10.7415
000001.SZ,2019-03-31,3.0331
000001.SZ,2019-06-30,6.2028
000001.SZ,2019-09-30,8.9454
000001.SZ,2019-12-31,10.1966
000001.SZ,2020-03-31,2.5695
000001.SZ,2020-06-30,4.1175
000001.SZ,2020-09-30,6.6685
000001.SZ,2020-12-31,8.5445
000001.SZ,2021-03-31,2.7505
000001.SZ,2021-06-30,4.7437
000001.SZ,2021-09-30,7.7385
000001.SZ,2021-12-31,9.5674
000001.SZ,2022-03-31,3.206
000001.SZ,2022-06-30,5.4704
000001.SZ,2022-09-30,8.9322
000001.SZ,2022-12-31,10.966
000069.SZ,2016-03-31,1.572
000069.SZ,2016-06-30,4.1274
000069.SZ,2016-09-30,7.5009
000069.SZ,2016-12-31,16.8415
000069.SZ,2017-03-31,1.7143
000069.SZ,2017-06-30,3.9025
000069.SZ,2017-09-30,10.317
000069.SZ,2017-12-31,18.0508
000069.SZ,2018-03-31,2.1175
000069.SZ,2018-06-30,3.8033
000069.SZ,2018-09-30,9.6044
000069.SZ,2018-12-31,19.0496
000069.SZ,2019-03-31,1.9895
000069.SZ,2019-06-30,4.7226
000069.SZ,2019-09-30,9.8759
000069.SZ,2019-12-31,19.3176
000069.SZ,2020-03-31,1.2309
000069.SZ,2020-06-30,3.1527
000069.SZ,2020-09-30,7.552
000069.SZ,2020-12-31,17.255
000069.SZ,2021-03-31,1.1452
000069.SZ,2021-06-30,2.0152
000069.SZ,2021-09-30,4.2961
000069.SZ,2021-12-31,4.7608
000069.SZ,2022-03-31,0.2167
000069.SZ,2022-06-30,0.1307
000069.SZ,2022-09-30,0.1564
000069.SZ,2022-12-31,-14.5344
000157.SZ,2016-03-31,-1.6668
000157.SZ,2016-06-30,-2.1646
000157.SZ,2016-09-30,-2.0754
000157.SZ,2016-12-31,-2.4331
000157.SZ,2017-03-31,0.2293
000157.SZ,2017-06-30,3.0596
000157.SZ,2017-09-30,3.4595
000157.SZ,2017-12-31,3.5808
000157.SZ,2018-03-31,0.9961
